code;name;lat;lon
2900108;Abaira;-13,25;-41,664
2900207;Abare;-8,721;-39,115
2900306;Acajutiba;-11,662;-38,017
2900355;Adustina;-10,533;-38,1
2900405;agua Fria;-11,867;-38,767
2900603;Aiquara;-14,129;-39,888
2900702;Alagoinhas;-12,136;-38,419
2900801;Alcobaca;-17,519;-39,196
2900900;Almadina;-14,705;-39,637
2901007;Amargosa;-13,03;-39,605
2901106;Amelia Rodrigues;-12,409;-38,759
2901155;America Dourada;-11,455;-41,436
2901205;Anage;-14,612;-41,136
2901304;Andarai;-12,807;-41,331
2901353;Andorinha;-10,345;-39,833
2901403;Angical;-12,007;-44,694
2901502;Anguera;-12,151;-39,246
2901601;Antas;-10,4;-38,333
2901700;Ant™nio Cardoso;-12,435;-39,12
2901809;Ant™nio Goncalves;-10,573;-40,274
2901908;Apora;-11,66;-38,081
2901957;Apuarema;-13,856;-39,744
2902054;Aracas;-12,22;-38,203
2902005;Aracatu;-14,428;-41,462
2902104;Araci;-11,333;-38,967
2902203;Aramari;-12,082;-38,499
2902252;Arataca;-15,263;-39,414
2902302;Aratuipe;-13,079;-39,002
2902401;Aurelino Leal;-14,317;-39,327
2902500;Baianopolis;-12,306;-44,535
2902609;Baixa Grande;-11,96;-40,168
2902658;Banzae;-10,577;-38,615
2902708;Barra;-11,089;-43,142
2902807;Barra da Estiva;-13,626;-41,327
2902906;Barra do Choca;-14,881;-40,579
2903003;Barra do Mendes;-11,81;-42,059
2903102;Barra do Rocha;-14,211;-39,602
2903201;Barreiras;-12,153;-44,99
2903235;Barro Alto;-11,761;-41,912
2903300;Barro Preto;-14,81;-39,471
2903276;Barrocas;-11,529;-39,078
2903409;Belmonte;-15,863;-38,883
2903508;Belo Campo;-15,038;-41,26
2903607;Biritinga;-11,617;-38,8
2903706;Boa Nova;-14,363;-40,208
2903805;Boa Vista do Tupim;-12,66;-40,609
2903904;Bom Jesus da Lapa;-13,255;-43,418
2903953;Bom Jesus da Serra;-14,372;-40,504
2904001;Boninal;-12,702;-41,828
2904050;Bonito;-11,966;-41,267
2904100;Boquira;-12,823;-42,731
2904209;Botupora;-13,382;-42,523
2904308;Brejoes;-13,104;-39,796
2904407;Brejolandia;-12,483;-43,966
2904506;Brotas de Macaubas;-11,999;-42,626
2904605;Brumado;-14,204;-41,665
2904704;Buerarema;-14,959;-39,3
2904753;Buritirama;-10,708;-43,631
2904803;Caatiba;-14,977;-40,408
2904852;Cabaceiras do Paraguacu;-12,536;-39,191
2904902;Cachoeira;-12,618;-38,956
2905008;Cacule;-14,503;-42,222
2905107;Caem;-11,091;-40,435
2905156;Caetanos;-14,338;-40,91
2905206;Caetite;-14,069;-42,475
2905305;Cafarnaum;-11,694;-41,468
2905404;Cairu;-13,487;-39,044
2905503;Caldeirao Grande;-11,02;-40,303
2905602;Camacan;-15,419;-39,496
2905701;Camacari;-12,698;-38,324
2905800;Camamu;-13,945;-39,104
2905909;Campo Alegre de Lourdes;-9,516;-43,011
2906006;Campo Formoso;-10,509;-40,321
2906105;Canapolis;-13,07;-44,202
2906204;Canarana;-11,685;-41,769
2906303;Canavieiras;-15,675;-38,947
2906402;Candeal;-11,808;-39,119
2906501;Candeias;-12,668;-38,551
2906600;Candiba;-14,411;-42,867
2906709;Candido Sales;-15,505;-41,239
2906808;Cansancao;-10,671;-39,498
2906824;Canudos;-9,964;-39,164
2906857;Capela do Alto Alegre;-11,668;-39,838
2906873;Capim Grosso;-11,381;-40,013
2906899;Caraibas;-14,6;-41,335
2906907;Caravelas;-17,732;-39,266
2907004;Cardeal da Silva;-11,942;-37,949
2907103;Carinhanha;-14,305;-43,765
2907202;Casa Nova;-9,162;-40,971
2907301;Castro Alves;-12,766;-39,428
2907400;Catolandia;-12,318;-44,861
2907509;Catu;-12,353;-38,379
2907558;Caturama;-13,329;-42,291
2907608;Central;-11,136;-42,113
2907707;Chorrocho;-8,98;-39,094
2907806;Cicero Dantas;-10,6;-38,383
2907905;Cipo;-11,1;-38,517
2908002;Coaraci;-14,641;-39,551
2908101;Cocos;-14,184;-44,534
2908200;Conceicao da Feira;-12,506;-38,999
2908309;Conceicao do Almeida;-12,809;-39,164
2908408;Conceicao do Coite;-11,564;-39,283
2908507;Conceicao do Jacuipe;-12,327;-38,765
2908606;Conde;-11,814;-37,611
2908705;Condeuba;-14,895;-41,969
2908804;Contendas do Sincora;-13,763;-41,041
2908903;Coracao de Maria;-12,233;-38,75
2909000;Cordeiros;-15,039;-41,935
2909109;Coribe;-13,829;-44,454
2909208;Coronel Joao Sa;-10,284;-37,926
2909307;Correntina;-13,343;-44,637
2909406;Cotegipe;-12,028;-44,258
2909505;Cravolandia;-13,359;-39,815
2909604;Crisopolis;-11,511;-38,15
